;Кому посвящен;Наименование;Адрес;Авторы;Год открытия;Описание;PHOTO_URL;y;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Плита;Чернышевский Н. Г.;;площадь Чернышевского;Лишев Всеволод Всеволодович, Яковлев Всеволод Иванович;–;Революционный демократ, писатель, философ, литературный критик.;https://avatars.mds.yandex.net/get-altay/14296560/2a0000019303f938cf9ace0938b272dd8803/XXXL;59.8689025; 30.3195512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Лермонтов М. Ю.;;Лермонтовский пр., 54;Крейтан В.П., Микешин Б.М.;–;Поэт, прозаик, драматург.;https://avatars.mds.yandex.net/get-altay/2425845/2a00000182493a8a8beba54c377fb06267ae/XXXL;59.9105729; 30.2981974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Тургенев И. С.;;Старо-манежный сад, Манежная пл., 2;Нейман Ян Янович;–;Русский писатель.;https://avatars.mds.yandex.net/get-altay/16920891/2a000001995dc28cbd7fd9844e18cea7ef9d/XXXL;59.9362594; 30.3388161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Лермонтов М. Ю.;;Александровский сад, у фонтана перед Адмиралтейством;Крейтан Виктор Павлович;1896 г.;Русский поэт.;https://avatars.mds.yandex.net/get-altay/13078542/2a0000018fb35bd05483ed33cbb30737fda5/XXXL;59.9369810; 30.3098516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Жуковсккий В. А.;;Александровский сад, у Дворцовой Площади;Михайлов Иван Васильевич, Костомаров Федор Сергеевич;–;Памятник в стиле барокко, выполнен из гранита.;https://avatars.mds.yandex.net/get-altay/176734/2a000001639b8746fe8a95e6de6a132ea6f1/XXXL;59.9376712; 30.3116335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Некрасов Н. А.;;Некрасовский сад;Эйдлин Леонид Юльевич;1971;–;https://avatars.mds.yandex.net/get-altay/7383884/2a0000018305385ce39c923c9dfa6f1a12ad/XXXL;59.9377278; 30.3676205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Некрасов Н. А.;;Литейный пр., 37, сад Дома Пашкова;Лишев Всеволод Всеволодович;1922;–;https://avatars.mds.yandex.net/get-altay/6272620/2a000001837e8d9ee5d142400f10020e00bf/XXXL;59.9403687; 30.3475043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Крылов И. А.;;Летний сад;Клодт Петр Карлович, Агин Александр Алексеевич;–;Скульптура баснописца.;https://avatars.mds.yandex.net/get-altay/14763246/2a000001958e9180993ee0090fa058904b05/XXXL;59.9462137; 30.3350195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Шевченко Т. Г.;;Площадь Шевченко;–;–;Украинский поэт, родоначальник новой украинской литературы.;https://avatars.mds.yandex.net/get-altay/372953/2a0000015ffd7425b6c32db9dbde154c1ee3/XXXL;59.9669008; 30.3064388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Пушкин А. С.;Гению места;г. Пушкин, Лицейский пер., 1;Вайсман Анатолий Аркадьевич, Гуттовский Юрий Эдуардович;–;Красный гранитная плита с текстовой доской.;https://avatars.mds.yandex.net/get-altay/19555618/2a0000019ca623dbf25f170ffd5164d522d7/XXXL;59.717210; 30.397518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Пушкин А. С.;;г. Пушкин, Дворцовая ул., Лицейский сад;Бах Роберт Романович, Бах Александр Романович;–;Красный гранитная статуя.;https://avatars.mds.yandex.net/get-altay/4377463/2a00000181e9d73c8a71f5aa53a23f0e2749/XXXL;59.7184585; 30.3967580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Пушкин А. С.;;г. Пушкин, Октябрьский бульвар, у Египетских ворот;Бернштам Леопольд Адольфович, Яковлев Всеволод Иванович;–;Бронзовая статуя на гранитном постаменте и парапете.;https://avatars.mds.yandex.net/get-altay/774756/2a0000018e8128ad0fd286bd145754f4a226/XXXL;59.728610; 30.395078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Пушкин А. С.;;Московское шоссе, 23-й км, Московская Славянка;–;1957;Огранитный обелиск;https://avatars.mds.yandex.net/get-altay/10231026/2a0000018f2fc754e847d5db73b1566f41f6/XXXL;59.748697; 30.497298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Пушкин А. С.;;Пулковское шоссе, поворот на г. Пушкин;Мануйлов Аполлон Александрович;1956;Демонтирован;https://spbvedomosti.ru/upload/resize_cache/webp/iblock/9ef/Demontazh-pamyatnika.webp;59.776877; 30.326321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Берггольц О. Ф.;;Палевский сад;–;–;Русский поэт. Участница обороны Ленинграда.;https://avatars.mds.yandex.net/get-altay/1678797/2a00000168e3191d54499c5bf375295b1a70/XXXL;59.8932210; 30.4172239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Ломоносов М. В.;;г. Ломоносов, Ораниенбаумский пр.;Кочуков Николай Сергеевич, Алымов Александр Иванович, Рощин Владимир Николаевич;–;Учёный, поэт, художник, историк.;https://avatars.mds.yandex.net/get-altay/1777247/2a00000185fee46d9415810e92570af752f9/XXXL;59.898768; 29.779165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Есенин С. А.;;Парк Есенина;;;;https://avatars.mds.yandex.net/get-altay/11924971/2a0000019002e15c72ecd1b4accab12da576/XXXL;59.9101039; 30.4861544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
