Кому посвящена;ФИО_Стандарт;Адрес;Текст надписи;Даты/Авторы;Категория ГИС;URL_Высокая;y;x
;Карамзин Н. М.;;"""В этом доме в 1816-1821 г.г. жил Николай Михайлович Карамзин, известный русский писатель и историк, здесь бывали лицеист Пушкин, П. Я. Чаадаев, В. А. Жуковский, А. И. Тургенев, П. А. Вяземский""";;Мемориальная;;59.7166;30.3994116
Тютчев Фёдор Иванович;Тютчев Ф.И.;г. Пушкин, Малая Улица, 10;"""На этом месте находился дом в котором 15 июля 1873 года скончался поэт Фёдор Иванович Тютчев""";;Мемориальная;;59.7207018;30.3977536
Александр Николаевич Радищев;Радищев А.Н.;Расстанная ул., 30. Музей-некрополь «Литераторские мостки».;«Здесь, на территории Волкова кладбища, в 1802 году был погребен писатель-революционер Александр Николаевич Радищев»;1984 год;Мемориальная;;59.9043212;30.3591522
Валентину Саввичу Пикулю;Пикулю В.С.;4-я Красноармейская ул., 16. (Ф-227);«В этом доме с 1947 по 1961 год жил известный писатель Валентин Саввич Пикуль»;1996. Арх. Романовский Ф. К., скульптор Джибраев Ю. Г. Гранит, мрамор, бронза;Мемориальная;https://encspb.ru/image/2805553587/1;59.913753;30.3125057
А.С. Пушкину;Пушкин А.С.;Фонтанки реки наб., 185.;«В этом доме по окончании Лицея жил А.С. Пушкин с 1817 г. по 1820 г.»;1937.;Мемориальная;;59.9165434;30.2874113
Михаил Юрьевич Лермонтов;Лермонтов М.Ю.;Садовая ул., 61. (Ф-205);«В этом доме жил Михаил Юрьевич Лермонтов в 1836–1837 гг. Здесь им написано стихотворение “Смерть поэта»;2006. Арх. Егоров М. Ф., скульптор Дыдыкин Н. В.;Мемориальная;https://encspb.ru/image/2805552927/1;59.9224413;30.3065423
Александр Блоку А. А.;Блок А. А.;Декабристов ул., 57. (Ф-153);«В этом доме жил с 6 августа 1912 г. и умер 7 августа 1921 г. Александр Блок»;1946. Арх. Смирнов Н. И.;Мемориальная;https://encspb.ru/image/2805549709/1;59.9234832;30.2820381
Алексей Феофилактович Писемский;Писемский А.Ф.;Садовая ул., 51.;«В этом доме с 1858 г. по 1863 г. жил Алексей Феофилактович Писемский. Здесь он написал драму “Горькая судьбина»;1956. Арх. Болотский Н. С. Мрамор. Не установлена копия доски в связи с капитальным ремонтом здания;Мемориальная;;59.923879;30.3105813
Гарину-Михайловскому Н. Г.;Гарин-Михайловский Н.Г.;Московский проспект, 9. Университет путей сообщения;«Здесь учился писатель-демократ Гарин-Михайловский Николай Георгиевич, крупный инженер, строитель Транссибирской магистрали»;1984, Арх. Черепанов В. И., скульптор Петин В. П. Гранит, бронза;Мемориальная;https://encspb.ru/image/2805550995/1;59.9243647;30.3173695
Александр Иванович Куприн;Куприн А.И.;Разъезжая ул., 7 (не разъездная);«В этом доме в 1906–1908 годах жил и работал писатель Александр Иванович Куприн»;1992, Арх. Милорадович Т. Н. Гранит;Мемориальная;https://encspb.ru/image/2805552774/1;59.9253687;30.3439886
А.С. Пушкину;Пушкин А.С.;Театральная пл., 8.;«В этом доме бывал в 1819–1820 гг. А.С. Пушкин на собраниях литературно-политического кружка “Зеленая лампа»;1937. Арх. Санлер Е. Н., Волков П. А.;Мемориальная;https://encspb.ru/image/2805553761/1;59.9254379;30.3000341
Николай Гаврилович Чернышевский;Чернышевский Н.Г.;Большая Московская ул., 6.;«В этом доме с 20 мая 1861 года по 7 июля 1862 года жил и работал великий русский революционный демократ Николай Гаврилович Чернышевский»;1955. Мрамор.;Мемориальная;https://encspb.ru/image/2805553988/1;59.9267783;30.3478429
Достоевскому Ф. М.;Достоевский Ф.М.;Казначейская ул., 7;«В этом доме в 1864–1867 годах жил Федор Михайлович Достоевский. Здесь написан роман “Преступление и наказание»;1998, Арх. Михайлов С.Л., художник Соколов Н. Н.;Мемориальная;https://encspb.ru/image/2805551660/1;59.9268817;30.3126499
Тарас Григорьевич Шевченко;Шевченко Т.Г.;Загородный проспект, 8;«В этом доме 1832–1838 гг. жил великий украинский поэт, революционер-демократ Тарас Григорьевич Шевченко»;1961, Арх. Попов В. Д., Мрамор;Мемориальная;;59.9272013;30.3453586
Федор Михайлович Достоевский;Достоевский Ф.М.;Кузнечный пер., 5 (Ф-178);«В этом доме в 1846 г. и с 1878 г. по день смерти 9 февраля 1881 г. жил Федор Михайлович Достоевский. Здесь им был написан роман “Братья Карамазовы»;1956, Арх. Егоров М. Ф., скульптор Соколов Н. А.;Мемориальная;https://encspb.ru/image/2805551604/1;59.9273773;30.350833
;Довлатов;Ул. Рубинштейна, 23;"""В этом доме с 1944 по 1975 г жил писатель Сергей Довлатов""";;Мемориальная;;59.9278061;30.342885
Антон Антонович Дельвиг;Дельвиг А.А.;Загородный проспект, 1.;«В этом доме с 1829 по 1831 год жил и работал известный русский поэт Антон Антонович Дельвиг»;1984. Арх. Бухаев В. Б. Гранит.;Мемориальная;https://encspb.ru/image/2805551439/1;59.927887;30.3464028
Александр Грин;Грин А. С;Декабристов ул., 11. (Ф-171);«В этом доме в 1921–22 годах жил и работал известный советский писатель Александр Грин»;1986, Арх. Бухаев В. Б. Гранит;Биографическая;https://encspb.ru/image/2805551305/1;59.9285077;30.3042227
Адам Мицкевич;Мицкевич А.;Казанская ул., 39;«В этом доме жил великий польский поэт Адам Мицкевич с апреля 1828 г. по 15 (27) мая 1829 г.»;1955 г., Арх. Егоров М.Ф.;Мемориальная;;59.928731;30.3101886
